station,line,day,report-start-time,report-end-time,description,offense,victim-sex,victim-age,offender-sex,offender-age,offender-detained
PINO SUÁREZ,2,TUESDAY,14:04,20:14,VIDEO RECORDING,SEXUAL HARASSMENT,WOMAN,29,MAN,50,
PINO SUÁREZ,1,WEDNESDAY_,16:54,01:34,TOUCHING OF GENITALS,SEXUAL ASSAULT,MAN,17,MAN,55,
INDIOS VERDES,3,FRIDAY,16:30,17:10,TOUCHING OF BUTTOCKS,SEXUAL ASSAULT,WOMAN,26,MAN,40,
IZTAPALAPA,8,MONDAY,08:44,16:18,"TOUCHING OF LEG, BUTTOCKS AND BREAST",SEXUAL ASSAULT,WOMAN,29,MAN,37,
ZARAGOZA,1,MONDAY,15:40,16:00,PICTURE TAKING ,SEXUAL HARASSMENT,WOMAN,25,MAN,31,
SAN LÁZARO,1,THURSDAY,09:28,17:00,FRICTION OF PENIS ON HAND,SEXUAL ASSAULT,WOMAN,19,MAN,45,
SALTO DEL AGUA,8,THURSDAY,10:00,14:50,PICTURE TAKING AND OR VIDEO RECORDING,SEXUAL HARASSMENT,WOMAN,49,MAN,44,
BOSQUE DE ARAGÓN,B,FRIDAY,10:40,12:00,TOUCHING OF BUTTOCKS,SEXUAL ASSAULT,WOMAN,45,MAN,19,
SAN LÁZARO,1,FRIDAY,15:37,20:25,PICTURE TAKING  ,SEXUAL HARASSMENT,WOMAN,23,MAN,58,
HIDALGO,3,MONDAY,09:40,16:45,TOUCHING OF BREASTS,SEXUAL ASSAULT,WOMAN,16,MAN,50,
SAN COSME,2,WEDNESDAY_,08:45,21:45,DOMESTIC VIOLENCE (VERBAL AND PHYSICAL) ,DOMESTIC VIOLENCE,WOMAN,40,MAN,36,
TACUBAYA,1,WEDNESDAY,11:50,19:40,TOUCHING OF BUTTOCKS,SEXUAL ASSAULT,WOMAN,27,MAN,23,
DIVISIÓN DEL NORTE,3,WEDNESDAY_,15:30,19:45,GENITAL EXHIBITIONISM,SEXUAL HARASSMENT,WOMAN,25,MAN,39,
COLEGIO MILITAR,2,THURSDAY,11:25,11:55,PICTURE TAKING,SEXUAL HARASSMENT,WOMAN,18,MAN,52,
HIDALGO,2,THURSDAY,19:35,21:04,GENITAL EXHIBITIONISM,SEXUAL HARASSMENT,WOMAN,23,MAN,54,
GARIBALDI,B,THURSDAY,13:00,16:00,TOUCHING OF BUTTOCKS,SEXUAL ASSAULT,WOMAN,35,MAN,50,
BALDERAS,1,THURSDAY,13:06,20:53,TOUCHING OF BUTTOCKS,SEXUAL ASSAULT,WOMAN,22,MAN,28,
AGRICOLA ORIENTAL,A,MONDAY,08:40,09:30,MASTURBATION,SEXUAL HARASSMENT,WOMAN,24,MAN,34,
PANTITLÁN,5,MONDAY,14:50,17:30,PURSUIT WITH POSSIBLE SEXUAL INTENT,SEXUAL HARASSMENT,WOMAN,50,MAN,32,
BALDERAS,1,WEDNESDAY,09:40,15:00,TOUCHING OF BUTTOCKS,SEXUAL ASSAULT,WOMAN,23,MAN,32,
TACUBAYA,7,WEDNESDAY,20:15,02:11,TOUCHING OF BUTTOCKS,SEXUAL ASSAULT,WOMAN,25,MAN,17,
CANDELARIA,1,THURSDAY,08:34,14:00,FRICTION OF PENIS ON BUTTOCKS,SEXUAL ASSAULT,WOMAN,24,MAN,38,
HIDALGO,2,THURSDAY,10:04,13:10,TOUCHING OF BUTTOCKS,SEXUAL ASSAULT,WOMAN,23,MAN,32,
SAN LÁZARO,1,TUESDAY,09:30,16:30,TOUCHING OF BUTTOCKS,SEXUAL ASSAULT,WOMAN,18,MAN,39,
PINO SUÁREZ,2,WEDNESDAY,10:50,16:05,TOUCHING OF BUTTOCKS,SEXUAL ASSAULT,WOMAN,37,MAN,34,
BELLAS ARTES,2,WEDNESDAY,09:24,18:40,FRICTION OF PENIS ON BUTTOCKS,SEXUAL ASSAULT,WOMAN,26,MAN,30,
INDIOS VERDES,3,WEDNESDAY,18:55,20:30,TOUCHING OF BUTTOCKS,SEXUAL ASSAULT,WOMAN,47,MAN,43,
PANTITLÁN,1,THURSDAY,13:23,18:00,DOMESTIC VIOLENCE (PHYSYCAL),DOMESTIC VIOLENCE,WOMAN,26,MAN,34,NO ARREST
NORMAL,2,MONDAY,15:35,04:48,FRICTION OF PENIS ON BUTTOCKS ,SEXUAL ASSAULT,WOMAN,33,MAN,26,
BALDERAS,1,MONDAY,18:53,19:32,VERBAL SEXUAL HARASSMENT AND PURSUIT WITH POSSIBLE SEXUAL INTENT,SEXUAL HARASSMENT,WOMAN,30,MAN,24,
BALBUENA,1,TUESDAY,19:32,22:12,TOUCHING OF BUTTOCKS AND PENIS FRICTION,SEXUAL ASSAULT,WOMAN,10,MAN,32,
BOULEVARD PUERTO AEREO,1,WEDNESDAY,13:18,14:38,VERBAL SEXUAL HARASSMENT AND PURSUIT WITH POSSIBLE SEXUAL INTENT,SEXUAL HARASSMENT,WOMAN,24,MAN,55,
CONSTITUCIÓN DE 1917,8,THURSDAY,15:34,22:08,TOUCHING OF PUBIC AREA,SEXUAL ASSAULT,WOMAN,24,MAN,47,
INSURGENTES,1,THURSDAY,16:15,16:45,VEXATION (VERBAL AGRESSION),VEXATION,WOMAN,42,MAN,42,
MERCED,1,FRIDAY,14:26,21:52,TOUCHIING OF BUTTOCKS,SEXUAL ASSAULT,WOMAN,15,MAN,60,
TASQUEÑA,2,MONDAY,08:47,17:48,TOUCHING OF BUTTOCKS,SEXUAL ASSAULT,WOMAN,32,MAN,32,
TACUBAYA,7,MONDAY,09:05,16:05,TOUCHING OF PUBIC AREA,SEXUAL ASSAULT,WOMAN,24,MAN,37,
GUERRERO,3,THURSDAY,09:14,16:41,TOUCHING OF BUTTOCKS,SEXUAL ASSAULT,WOMAN,20,MAN,28,
BALDERAS,1,MONDAY,10:07,20:26,EJACULATION ON HAND,SEXUAL ASSAULT,WOMAN,29,MAN,16,NO ARREST
HIDALGO,3,MONDAY,14:53,23:46,TOUCHING OF BUTTOCKS AND GENITALS,SEXUAL ASSAULT,WOMAN,14,MAN,23,
PANTITLÁN,9,FRIDAY,09:58,10:40,TOUCHING OF GENITALS,SEXUAL ASSAULT,MAN,18,MAN,44,
TLATELOLCO,3,FRIDAY,13:44,21:26,GENITAL EXHIBITIONISM,SEXUAL HARASSMENT,WOMAN,15,MAN,46,
